1913-01-31,485
1913-02-28,1150
1913-03-31,4990
1913-04-30,6130
1913-05-31,4780
1913-06-30,3960
1913-07-31,2160
1913-08-31,1530
1913-09-30,1060
1913-10-31,761
1913-11-30,516
1913-12-31,710
1914-01-31,570
1914-02-28,984
1914-03-31,2690
1914-04-30,8280
1914-05-31,6480
1914-06-30,5990
1914-07-31,3930
1914-08-31,1760
1914-09-30,1010
1914-10-31,736
1914-11-30,1050
1914-12-31,787
1915-01-31,906
1915-02-28,2100
1915-03-31,5730
1915-04-30,7140
1915-05-31,6530
1915-06-30,3720
1915-07-31,2140
1915-08-31,1970
1915-09-30,1760
1915-10-31,1080
1915-11-30,886
1915-12-31,749
1916-01-31,806
1916-02-29,2510
1916-03-31,4140
1916-04-30,4610
1916-05-31,5020
1916-06-30,3700
1916-07-31,1690
1916-08-31,1270
1916-09-30,1190
1916-10-31,585
1916-11-30,543
1916-12-31,945
1917-01-31,780
1917-02-28,1280
1917-03-31,3880
1917-04-30,6580
1917-05-31,6460
1917-06-30,3930
1917-07-31,2350
1917-08-31,1620
1917-09-30,1040
1917-10-31,643
1917-11-30,589
1917-12-31,543
1918-01-31,482
1918-02-28,767
1918-03-31,4170
1918-04-30,7880
1918-05-31,6510
1918-06-30,3720
1918-07-31,2130
1918-08-31,2100
1918-09-30,1940
1918-10-31,1590
1918-11-30,1660
1918-12-31,1140
1919-01-31,964
1919-02-28,2020
1919-03-31,5290
1919-04-30,7970
1919-05-31,6960
1919-06-30,4320
1919-07-31,2570
1919-08-31,1650
1919-09-30,1180
1919-10-31,837
1919-11-30,668
1919-12-31,584
1920-01-31,497
1920-02-29,1360
1920-03-31,4050
1920-04-30,6470
1920-05-31,6930
1920-06-30,4640
1920-07-31,2420
1920-08-31,1430
1920-09-30,1320
1920-10-31,1160
1920-11-30,1010
1920-12-31,834
1921-01-31,648
1921-02-28,857
1921-03-31,3980
1921-04-30,7240
1921-05-31,9600
1921-06-30,5460
1921-07-31,3130
1921-08-31,3310
1921-09-30,1860
1921-10-31,1200
1921-11-30,935
1921-12-31,899
1922-01-31,824
1922-02-28,1580
1922-03-31,5330
1922-04-30,9320
1922-05-31,6610
1922-06-30,4230
1922-07-31,2710
1922-08-31,2700
1922-09-30,1940
1922-10-31,1360
1922-11-30,908
1922-12-31,677
1923-01-31,590
1923-02-28,848
1923-03-31,4030
1923-04-30,8130
1923-05-31,5430
1923-06-30,3450
1923-07-31,2510
1923-08-31,2300
1923-09-30,1310
1923-10-31,1170
1923-11-30,906
1923-12-31,674
1924-01-31,612
1924-02-29,1410
1924-03-31,4830
1924-04-30,7830
1924-05-31,5670
1924-06-30,3490
1924-07-31,2500
1924-08-31,1290
1924-09-30,939
1924-10-31,841
1924-11-30,579
1924-12-31,907
1925-01-31,715
1925-02-28,874
1925-03-31,6020
1925-04-30,6790
1925-05-31,5060
1925-06-30,3900
1925-07-31,3110
1925-08-31,1950
1925-09-30,1310
1925-10-31,1230
1925-11-30,869
1925-12-31,780
1926-01-31,702
1926-02-28,2230
1926-03-31,7060
1926-04-30,7020
1926-05-31,4810
1926-06-30,3020
1926-07-31,2360
1926-08-31,1140
1926-09-30,894
1926-10-31,1700
1926-11-30,1240
1926-12-31,857
1927-01-31,939
1927-02-28,2710
1927-03-31,4810
1927-04-30,4390
1927-05-31,4300
1927-06-30,2500
1927-07-31,1580
1927-08-31,1450
1927-09-30,1270
1927-10-31,882
1927-11-30,787
1927-12-31,633
1928-01-31,573
1928-02-29,896
1928-03-31,3320
1928-04-30,7360
1928-05-31,5880
1928-06-30,3610
1928-07-31,2510
1928-08-31,2920
1928-09-30,1730
1928-10-31,1030
1928-11-30,1050
1928-12-31,781
1929-01-31,810
1929-02-28,1550
1929-03-31,6470
1929-04-30,7440
1929-05-31,5810
1929-06-30,3230
1929-07-31,1780
1929-08-31,1300
1929-09-30,860
1929-10-31,540
1929-11-30,520
1929-12-31,497
1930-01-31,505
1930-02-28,676
1930-03-31,2750
1930-04-30,6180
1930-05-31,4150
1930-06-30,2970
1930-07-31,1890
1930-08-31,1340
1930-09-30,986
1930-10-31,793
1930-11-30,975
1930-12-31,799
1931-01-31,635
1931-02-28,1810
1931-03-31,3510
1931-04-30,6220
1931-05-31,5370
1931-06-30,3130
1931-07-31,2180
1931-08-31,1430
1931-09-30,1160
1931-10-31,840
1931-11-30,772
1931-12-31,709
1932-01-31,750
1932-02-29,1120
1932-03-31,4280
1932-04-30,6100
1932-05-31,5210
1932-06-30,2950
1932-07-31,2180
1932-08-31,1950
1932-09-30,1380
1932-10-31,871
1932-11-30,721
1932-12-31,772
1933-01-31,935
1933-02-28,2120
1933-03-31,5470
1933-04-30,7160
1933-05-31,5160
1933-06-30,3920
1933-07-31,2370
1933-08-31,1690
1933-09-30,1790
1933-10-31,1440
1933-11-30,989
1933-12-31,754
1934-01-31,675
1934-02-28,1250
1934-03-31,5090
1934-04-30,7940
1934-05-31,7950
1934-06-30,5160
1934-07-31,2850
1934-08-31,2070
1934-09-30,2820
1934-10-31,1710
1934-11-30,1350
1934-12-31,1370
1935-01-31,1250
1935-02-28,3380
1935-03-31,6510
1935-04-30,6570
1935-05-31,4730
1935-06-30,3480
1935-07-31,2610
1935-08-31,2420
1935-09-30,2400
1935-10-31,1350
1935-11-30,1240
1935-12-31,1560
1936-01-31,1090
1936-02-29,1220
1936-03-31,4600
1936-04-30,7010
1936-05-31,6340
1936-06-30,3540
1936-07-31,2260
1936-08-31,1570
1936-09-30,1250
1936-10-31,1030
1936-11-30,752
1936-12-31,696
1937-01-31,662
1937-02-28,1680
1937-03-31,6060
1937-04-30,7170
1937-05-31,4930
1937-06-30,2970
1937-07-31,2150
1937-08-31,2050
1937-09-30,1900
1937-10-31,1360
1937-11-30,618
1937-12-31,528
1938-01-31,637
1938-02-28,1340
1938-03-31,3880
1938-04-30,6730
1938-05-31,5090
1938-06-30,3180
1938-07-31,2450
1938-08-31,1660
1938-09-30,1760
1938-10-31,1010
1938-11-30,823
1938-12-31,633
1939-01-31,701
1939-02-28,1380
1939-03-31,3690
1939-04-30,5590
1939-05-31,4170
1939-06-30,2380
1939-07-31,2060
1939-08-31,1380
1939-09-30,910
1939-10-31,744
1939-11-30,728
1939-12-31,579
1940-01-31,714
1940-02-29,2130
1940-03-31,5740
1940-04-30,6340
1940-05-31,5400
1940-06-30,3460
1940-07-31,2220
1940-08-31,2100
1940-09-30,2050
1940-10-31,2420
1940-11-30,1110
1940-12-31,909
1941-01-31,976
1941-02-28,2360
1941-03-31,4860
1941-04-30,5900
